Length	Counts
2	14423
3	14521
4	13400
5	11679
6	12712
7	10873
8	11930
9	16897
10	17852
11	20795
12	22162
13	24992
14	26406
15	27153
16	27048
17	26151
18	25339
19	137516
20	94214
21	53779
22	35138
23	24499
24	21366
25	19854
26	18990
27	17643
28	16769
29	18814
30	16283
31	17127
32	17119
33	16359
34	17297
35	17642
36	18175
37	22466
38	18404
39	22713
40	20957
41	18270
42	21026
43	21169
44	23467
45	21803
46	20398
47	22301
48	25315
49	26265
50	28056
51	27825
52	30492
53	32580
54	36592
55	35621
56	33123
57	33743
58	43258
59	41713
60	44899
61	42940
62	42309
63	48681
64	53381
65	52952
66	58944
67	47942
68	58678
69	65008
70	77449
71	57419
72	55003
73	59555
74	79583
75	63405
76	58376
77	67434
78	70503
79	74589
80	71124
81	72177
82	69801
83	77866
84	88009
85	83802
86	80442
87	71925
88	87844
89	94200
90	96229
91	89802
92	89652
93	91501
94	99457
95	101641
96	115299
97	94930
98	108763
99	120191
100	122651
101	1216340
102	1187885
103	1130204
104	1029145
105	949455
106	957352
107	1021378
108	1139195
109	1303370
110	1562900
111	1760137
112	1741890
113	1486179
114	1294429
115	1261896
116	1298727
117	1381848
118	1521437
119	1751035
120	2140306
121	2662655
122	3054048
123	2938828
124	2343713
125	1871038
126	1751601
127	1831406
128	1986592
129	2221032
130	2616783
131	3199127
132	4059167
133	4911892
134	5082583
135	4402886
136	3812394
137	3824197
138	4326496
139	5240542
140	6431112
141	7374582
142	7699266
143	7678497
144	7785215
145	7934777
146	7900146
147	7960246
148	8347263
149	8931180
150	9676500
151	10590652
152	11404079
153	11524960
154	11152546
155	11116050
156	11632955
157	12703463
158	14169683
159	15831772
160	17263156
161	18231387
162	19146678
163	20728767
164	23264993
165	25741461
166	27051438
167	27507914
168	27391032
169	26966561
170	26147890
171	25181033
172	24476965
173	24432934
174	24646479
175	24952165
176	24815763
177	24002724
178	22701747
179	21147327
180	19629089
181	18228060
182	17068750
183	16150537
184	15451083
185	14999730
186	14577467
187	14107986
188	13532606
189	12771564
190	11890728
191	10976729
192	10137707
193	9389526
194	8773138
195	8301803
196	7909634
197	7588149
198	7264987
199	6917518
200	6530183
201	6105360
202	5652168
203	5224880
204	4845139
205	4522419
206	4251077
207	4029982
208	3826143
209	3640445
210	3453521
211	3242267
212	3020697
213	2807611
214	2591622
215	2410752
216	2249514
217	2115661
218	2004810
219	1903918
220	1805532
221	1707771
222	1603002
223	1497451
224	1397784
225	1301408
226	1214281
227	1148103
228	1082556
229	1031814
230	981311
231	934016
232	885263
233	837361
234	789802
235	745516
236	706332
237	670364
238	642895
239	622580
240	602234
241	581266
242	566102
243	546232
244	526316
245	509965
246	491228
247	476916
248	469388
249	459195
250	452179
251	447286
252	443005
253	437901
254	434922
255	428875
256	422701
257	417348
258	414331
259	411060
260	410722
261	410837
262	413055
263	414883
264	413908
265	413723
266	408712
267	408840
268	408054
269	410496
270	413096
271	419411
272	424678
273	427225
274	428648
275	430974
276	432616
277	430583
278	433908
279	440753
280	448554
281	462016
282	472170
283	480224
284	485118
285	489471
286	493618
287	499718
288	513240
289	529119
290	544808
291	551086
292	564276
293	595101
294	589919
295	594605
296	612153
297	641107
298	648490
299	670750
300	700923
301	707462
302	727742
303	747604
304	777644
305	803863
306	836343
307	872527
308	907281
309	937222
310	963565
311	991261
312	1016525
313	1047217
314	1082531
315	1111176
316	1141589
317	1168304
318	1196704
319	1220764
320	1249198
321	1272868
322	1294882
323	1318030
324	1338816
325	1353013
326	1369711
327	1379751
328	1396495
329	1414427
330	1437868
331	1464104
332	1481398
333	1491780
334	1502221
335	1500744
336	1500794
337	1498351
338	1499315
339	1503081
340	1511939
341	1522884
342	1537608
343	1544605
344	1555782
345	1555108
346	1551357
347	1549248
348	1544662
349	1539871
350	1536995
351	1534130
352	1530860
353	1526399
354	1517490
355	1507355
356	1499960
357	1490398
358	1484035
359	1474341
360	1459678
361	1442494
362	1423819
363	1403082
364	1384508
365	1364486
366	1344461
367	1330266
368	1311869
369	1291759
370	1271150
371	1246865
372	1218732
373	1187673
374	1156925
375	1125068
376	1094803
377	1072683
378	1048922
379	1025179
380	1003340
381	976366
382	948736
383	918160
384	887086
385	856033
386	825583
387	798730
388	772749
389	751263
390	726842
391	704289
392	681217
393	655716
394	629120
395	604583
396	578621
397	556337
398	535131
399	515620
400	497063
401	480152
402	462887
403	444522
404	425210
405	408667
406	390543
407	374407
408	358679
409	344108
410	332162
411	319090
412	309105
413	296737
414	284286
415	272534
416	262361
417	250806
418	242781
419	232531
420	224573
421	217748
422	210076
423	203756
424	197027
425	190403
426	183884
427	177160
428	172333
429	167983
430	162841
431	158677
432	155393
433	152735
434	149029
435	144693
436	141543
437	139150
438	135888
439	134318
440	131711
441	130608
442	129733
443	127694
444	127257
445	126102
446	125441
447	124639
448	122556
449	122573
450	123186
451	123127
452	123612
453	124026
454	125016
455	124875
456	125439
457	124426
458	124817
459	125459
460	125807
461	127286
462	128419
463	129886
464	130933
465	131903
466	132629
467	132255
468	132316
469	133740
470	134262
471	137796
472	138920
473	140428
474	141926
475	142105
476	142179
477	142414
478	144246
479	145450
480	147247
481	148165
482	148747
483	148521
484	149396
485	150324
486	150685
487	150911
488	153266
489	152372
490	152503
491	152768
492	151986
493	152545
494	153582
495	153094
496	153881
497	154638
498	156451
499	158466
500	158411
501	158446
