Length	Counts
2	3442
3	1136
4	955
5	972
6	887
7	994
8	1004
9	932
10	868
11	901
12	957
13	932
14	891
15	866
16	874
17	930
18	1200
19	67127
20	39563
21	19476
22	9603
23	5320
24	3961
25	3490
26	3513
27	3309
28	2918
29	3171
30	3523
31	3641
32	4034
33	4251
34	4632
35	7578
36	6436
37	6091
38	5891
39	86951
40	90952
41	95643
42	98430
43	98408
44	97418
45	97443
46	97254
47	98314
48	100635
49	102377
50	106226
51	109906
52	115867
53	118873
54	115797
55	113088
56	110589
57	111220
58	111679
59	114873
60	118276
61	120483
62	122665
63	122956
64	121286
65	119268
66	116867
67	117870
68	117574
69	118250
70	119267
71	121083
72	125964
73	129699
74	126221
75	121019
76	117056
77	113840
78	114372
79	116528
80	119882
81	124087
82	135499
83	149534
84	149172
85	134840
86	119118
87	112241
88	110032
89	110029
90	114139
91	117745
92	126227
93	139652
94	150887
95	151485
96	137559
97	123642
98	118459
99	119141
100	122782
101	128355
102	133752
103	138568
104	140413
105	140119
106	137983
107	132500
108	129893
109	129775
110	131222
111	132348
112	136712
113	144003
114	151129
115	151595
116	143242
117	135010
118	132148
119	133162
120	137093
121	143439
122	152626
123	169813
124	197366
125	222187
126	224923
127	198391
128	167000
129	150951
130	150012
131	159706
132	174489
133	193458
134	219530
135	256504
136	294375
137	307014
138	291385
139	268192
140	267440
141	290202
142	326933
143	371159
144	408888
145	422773
146	419435
147	413558
148	407393
149	403419
150	400458
151	403356
152	414557
153	427473
154	443747
155	459556
156	471833
157	473956
158	475638
159	486583
160	508628
161	530677
162	553725
163	577281
164	602614
165	630818
166	651687
167	666274
168	662241
169	641670
170	608518
171	575358
172	540007
173	518019
174	508267
175	500546
176	493892
177	476923
178	448704
179	413991
180	378809
181	346949
182	321511
183	301140
184	283062
185	269290
186	258049
187	247265
188	235925
189	223240
190	209650
191	195412
192	183157
193	171223
194	161695
195	152675
196	142348
197	137121
198	130837
199	124721
200	116500
201	109773
202	103512
203	97423
204	92021
205	87479
206	83518
207	79179
208	74897
209	71150
210	67127
211	63791
212	60058
213	56434
214	53671
215	50704
216	48143
217	45825
218	43241
219	41440
220	39027
221	36984
222	35614
223	33739
224	31875
225	30745
226	29326
227	27689
228	25937
229	25381
230	24088
231	23245
232	22426
233	21329
234	20700
235	19923
236	19054
237	18457
238	17475
239	17158
240	16439
241	15958
242	15882
243	15409
244	15250
245	14591
246	14239
247	13954
248	13791
249	13135
250	13201
251	12686
252	12337
253	12262
254	12173
255	11862
256	11642
257	11243
258	11308
259	10994
260	10744
261	10601
262	10693
263	10438
264	10721
265	10396
266	10505
267	10371
268	10069
269	10105
270	9997
271	9843
272	9828
273	9839
274	9980
275	10081
276	10262
277	9867
278	9745
279	9475
280	9524
281	9450
282	9777
283	9786
284	10101
285	10156
286	10713
287	10534
288	10610
289	10222
290	10406
291	10540
292	10605
293	10734
294	10860
295	11308
296	11642
297	11684
298	12194
299	12299
300	12224
301	12661
302	12544
303	12555
304	13021
305	13011
306	13004
307	13337
308	13464
309	14034
310	14337
311	14548
312	14363
313	14360
314	14254
315	14440
316	14371
317	14783
318	14650
319	14866
320	14589
321	14849
322	14949
323	14924
324	15764
325	14899
326	14542
327	16085
328	15155
329	13878
330	14651
331	13093
332	13080
333	15327
334	12305
335	11417
336	12233
337	11317
338	11716
339	10748
340	10567
341	11029
342	10531
343	10108
344	9902
345	9838
346	10384
347	9736
348	9461
349	9464
350	9242
351	9245
352	9060
353	8935
354	9019
355	8862
356	8883
357	8627
358	8438
359	8378
360	8227
361	8113
362	8056
363	7890
364	7972
365	7570
366	7458
367	7345
368	7302
369	7263
370	7019
371	6795
372	6657
373	6646
374	6234
375	5994
376	5873
377	5493
378	5628
379	5644
380	5456
381	5282
382	5117
383	4902
384	4629
385	4646
386	4445
387	4127
388	4141
389	4187
390	3866
391	3695
392	3707
393	3488
394	3411
395	3390
396	3208
397	3046
398	3069
399	2973
400	2778
401	2614
402	2599
403	2544
404	2456
405	2349
406	2262
407	2138
408	2093
409	2193
410	2021
411	1933
412	1929
413	1864
414	1735
415	1770
416	1670
417	1643
418	1621
419	1536
420	1555
421	1404
422	1378
423	1404
424	1353
425	1313
426	1246
427	1280
428	1216
429	1116
430	1112
431	1124
432	1058
433	1042
434	1033
435	1004
436	1023
437	961
438	949
439	989
440	923
441	925
442	969
443	897
444	903
445	893
446	863
447	884
448	790
449	887
450	891
451	808
452	800
453	902
454	824
455	776
456	821
457	820
458	859
459	808
460	815
461	906
462	844
463	877
464	761
465	809
466	765
467	776
468	668
469	719
470	721
471	725
472	675
473	671
474	775
475	737
476	728
477	708
478	687
479	687
480	722
481	684
482	673
483	686
484	671
485	701
486	682
487	671
488	652
489	649
490	661
491	709
492	708
493	678
494	776
495	752
496	742
497	696
498	767
499	762
500	758
501	796
