Length	Counts
2	99527
3	18705
4	15538
5	15474
6	14982
7	15500
8	16002
9	17115
10	16406
11	16236
12	18397
13	17919
14	17865
15	18357
16	17755
17	17937
18	19267
19	1611762
20	999914
21	524944
22	262745
23	147607
24	89402
25	76309
26	67120
27	60543
28	64239
29	59808
30	61326
31	62391
32	69309
33	71694
34	74987
35	90807
36	96261
37	104006
38	97955
39	110459
40	116694
41	122745
42	138540
43	140440
44	929869
45	929687
46	941025
47	965188
48	991032
49	1024543
50	3467119
51	3545033
52	3667217
53	3710629
54	3553809
55	3408067
56	3345748
57	3363570
58	3422883
59	3507256
60	3577592
61	3592152
62	3541133
63	3447857
64	3333208
65	3229513
66	3176255
67	3184610
68	3187841
69	3181032
70	3133289
71	3094489
72	3131078
73	3161676
74	3044194
75	2900261
76	2808873
77	2737967
78	2725855
79	2767424
80	2805513
81	2902405
82	3129669
83	3390887
84	3288110
85	2920283
86	2629387
87	2485293
88	2437674
89	2433777
90	2480122
91	2530593
92	2639276
93	2863462
94	3060351
95	3036896
96	2763176
97	2525524
98	2447591
99	2485322
100	2556062
101	2607383
102	2672902
103	2722503
104	2717241
105	2677157
106	2616321
107	2545684
108	2498095
109	2470974
110	2458912
111	2475127
112	2510168
113	2596449
114	2699496
115	2660758
116	2497714
117	2353608
118	2299729
119	2310764
120	2364791
121	2435766
122	2573801
123	2861488
124	3295001
125	3593613
126	3490236
127	3044803
128	2611439
129	2407743
130	2389387
131	2507097
132	2677974
133	2915709
134	3256006
135	3764292
136	4235537
137	4323352
138	4043632
139	3733038
140	3769449
141	4132983
142	4632017
143	5156401
144	5511145
145	5560922
146	5400586
147	5304766
148	5265603
149	5230790
150	5225351
151	5297801
152	5465454
153	5625590
154	5747895
155	5853810
156	5883618
157	5840475
158	5832048
159	5993885
160	6262737
161	6546637
162	6813978
163	7040103
164	7261760
165	7481154
166	7689159
167	7847318
168	7838244
169	7607860
170	7237129
171	6818310
172	6400078
173	6128133
174	6010243
175	5964160
176	5936546
177	5776037
178	5422216
179	4932830
180	4434666
181	3985800
182	3638748
183	3377149
184	3172026
185	3024678
186	2886536
187	2734966
188	2515226
189	2316117
190	2124012
191	1944112
192	1792034
193	1657001
194	1547017
195	1453325
196	1372811
197	1288160
198	1211476
199	1128363
200	1047482
201	970677
202	900291
203	842577
204	789265
205	738729
206	696631
207	658048
208	617046
209	579075
210	543185
211	508247
212	478688
213	450081
214	423534
215	400785
216	378208
217	360362
218	342216
219	326119
220	310886
221	291911
222	277480
223	264591
224	251277
225	241361
226	230935
227	221781
228	213633
229	205140
230	198427
231	192485
232	186767
233	181594
234	175749
235	170105
236	163891
237	159024
238	154453
239	150354
240	146786
241	143783
242	142842
243	140995
244	139050
245	137242
246	133596
247	128722
248	125470
249	122812
250	121347
251	118910
252	117926
253	116353
254	114959
255	114455
256	114126
257	110947
258	109999
259	107296
260	105889
261	103814
262	103331
263	102486
264	102075
265	101453
266	101768
267	100342
268	99542
269	97768
270	95962
271	95332
272	95083
273	96306
274	96354
275	96294
276	96048
277	94889
278	93476
279	92115
280	90499
281	92354
282	92076
283	93919
284	95810
285	97351
286	97742
287	97932
288	96295
289	95534
290	95683
291	96762
292	96912
293	98530
294	100035
295	101246
296	102952
297	104007
298	105480
299	107451
300	108610
301	110033
302	112126
303	111266
304	111877
305	111584
306	112368
307	114304
308	115539
309	118142
310	120620
311	122276
312	121604
313	120603
314	119727
315	119894
316	118195
317	118754
318	119505
319	120012
320	119805
321	119931
322	118329
323	118525
324	117639
325	117953
326	116883
327	117080
328	115693
329	113924
330	113012
331	112673
332	112172
333	112175
334	112423
335	110288
336	110737
337	109060
338	107133
339	106095
340	104763
341	103808
342	103130
343	101576
344	100344
345	99224
346	98584
347	97968
348	96678
349	95495
350	93869
351	91939
352	89737
353	88761
354	88018
355	86697
356	85182
357	84745
358	84374
359	82179
360	79937
361	78519
362	76575
363	74675
364	73003
365	72539
366	70203
367	68611
368	67271
369	65266
370	64380
371	62790
372	61455
373	59192
374	57175
375	55912
376	54112
377	52133
378	51317
379	49649
380	48847
381	46837
382	45468
383	44199
384	43987
385	42081
386	42025
387	40233
388	36573
389	35959
390	34658
391	31198
392	30436
393	28705
394	27134
395	26071
396	24887
397	24204
398	24574
399	23151
400	22267
401	21542
402	21086
403	20310
404	19362
405	18921
406	18651
407	18024
408	17512
409	17131
410	16179
411	16175
412	15515
413	14976
414	14909
415	14524
416	14318
417	13852
418	13377
419	13179
420	13273
421	12707
422	12378
423	12399
424	11708
425	11463
426	11354
427	11060
428	10919
429	10573
430	10594
431	10596
432	10254
433	9956
434	9801
435	9782
436	9860
437	9749
438	9531
439	9497
440	9394
441	9254
442	9122
443	9170
444	9007
445	8663
446	8664
447	8857
448	8631
449	8445
450	8406
451	8515
452	8560
453	8348
454	8082
455	8075
456	8281
457	8401
458	8532
459	8414
460	8330
461	8116
462	7823
463	7814
464	7778
465	7744
466	7809
467	7505
468	7220
469	7632
470	7163
471	7155
472	7132
473	7175
474	7361
475	6971
476	7263
477	6933
478	6950
479	6629
480	7045
481	7260
482	7014
483	7090
484	7044
485	6857
486	7080
487	6982
488	6903
489	7135
490	7139
491	6912
492	7228
493	7280
494	7236
495	7226
496	7097
497	7388
498	7521
499	7359
500	7514
501	7736
